Title,Genre,Director,Year,Runtime (Minutes),Revenue (Millions)
(500) Days of Summer,Comedy;Drama;Romance,Marc Webb,2009,95,32.39
10 Cloverfield Lane,Drama;Horror;Mystery,Dan Trachtenberg,2016,104,71.9
10 Years,Comedy;Drama;Romance,Jamie Linden,2011,100,0.2
12 Years a Slave,Biography;Drama;History,Steve McQueen,2013,134,56.67
127 Hours,Adventure;Biography;Drama,Danny Boyle,2010,94,18.33
13 Hours,Action;Drama;History,Michael Bay,2016,144,52.82
17 Again,Comedy;Drama;Family,Burr Steers,2009,102,64.15
2012,Action;Adventure;Sci-Fi,Roland Emmerich,2009,158,166.11
20th Century Women,Comedy;Drama,Mike Mills,2016,119,5.66
21 Jump Street,Action;Comedy;Crime,Phil Lord,2012,110,138.45
21,Crime;Drama;Thriller,Robert Luketic,2008,123,81.16
22 Jump Street,Action;Comedy;Crime,Phil Lord,2014,112,191.62
2307: Winter's Dream,Sci-Fi,Joey Curtis,2016,101,20.76
28 Weeks Later,Drama;Horror;Sci-Fi,Juan Carlos Fresnadillo,2007,100,28.64
3 Days to Kill,Action;Drama;Thriller,McG,2014,117,30.69
3 Idiots,Comedy;Drama,Rajkumar Hirani,2009,170,6.52
300: Rise of an Empire,Action;Drama;Fantasy,Noam Murro,2014,102,106.37
300,Action;Fantasy;War,Zack Snyder,2006,117,210.59
31,Horror;Thriller,Rob Zombie,2016,102,0.78
42,Biography;Drama;Sport,Brian Helgeland,2013,128,95
50/50,Comedy;Drama;Romance,Jonathan Levine,2011,100,34.96
A Bigger Splash,Drama;Thriller,Luca Guadagnino,2015,125,1.98
A Cure for Wellness,Drama;Fantasy;Horror,Gore Verbinski,2016,146,8.1
A Good Year,Comedy;Drama;Romance,Ridley Scott,2006,117,7.46
A Hologram for the King,Comedy;Drama,Tom Tykwer,2016,98,4.2
A Kind of Murder,Crime;Drama;Thriller,Andy Goddard,2016,95,0
A Million Ways to Die in the West,Comedy;Romance;Western,Seth MacFarlane,2014,116,42.62
A Monster Calls,Drama;Fantasy,J.A. Bayona,2016,108,3.73
A Quiet Passion,Biography;Drama,Terence Davies,2016,125,1.08
A Street Cat Named Bob,Biography;Comedy;Drama,Roger Spottiswoode,2016,103,0.04
A United Kingdom,Biography;Drama;Romance,Amma Asante,2016,111,3.9
A Walk Among the Tombstones,Crime;Drama;Mystery,Scott Frank,2014,114,25.98
About Time,Comedy;Drama;Fantasy,Richard Curtis,2013,123,15.29
Across the Universe,Drama;Fantasy;Musical,Julie Taymor,2007,133,24.34
Adoration,Drama;Romance,Anne Fontaine,2013,112,0.32
After Earth,Action;Adventure;Sci-Fi,M. Night Shyamalan,2013,100,60.52
Ah-ga-ssi,Drama;Mystery;Romance,Chan-wook Park,2016,144,2.01
Alexander and the Terrible  Horrible  No Good  Very Bad Day,Comedy;Family,Miguel Arteta,2014,81,66.95
Alice in Wonderland,Adventure;Family;Fantasy,Tim Burton,2010,108,334.19
Alice Through the Looking Glass,Adventure;Family;Fantasy,James Bobin,2016,113,77.04
Aliens vs Predator - Requiem,Action;Horror;Sci-Fi,Colin Strause,2007,94,41.8
All Good Things,Crime;Drama;Mystery,Andrew Jarecki,2010,101,0.58
Allegiant,Action;Adventure;Mystery,Robert Schwentke,2016,120,66
Allied,Action;Drama;Romance,Robert Zemeckis,2016,124,40.07
American Gangster,Biography;Crime;Drama,Ridley Scott,2007,157,130.13
American Honey,Drama,Andrea Arnold,2016,163,0.66
American Hustle,Crime;Drama,David O. Russell,2013,138,150.12
American Reunion,Comedy,Jon Hurwitz,2012,113,56.72
American Sniper,Action;Biography;Drama,Clint Eastwood,2014,133,350.12
Angry Birds,Animation;Action;Adventure,Clay Kaytis,2016,97,107.51
Anna Karenina,Drama;Romance,Joe Wright,2012,129,12.8
Annabelle,Horror;Mystery;Thriller,John R. Leonetti,2014,99,84.26
Annie,Comedy;Drama;Family,Will Gluck,2014,118,85.91
Ant-Man,Action;Adventure;Comedy,Peyton Reed,2015,117,180.19
Anthropoid,Biography;History;Thriller,Sean Ellis,2016,120,2.96
Antichrist,Drama;Horror,Lars von Trier,2009,108,0.4
Apocalypto,Action;Adventure;Drama,Mel Gibson,2006,139,50.86
Argo,Biography;Drama;History,Ben Affleck,2012,120,136.02
Arrival,Drama;Mystery;Sci-Fi,Denis Villeneuve,2016,116,100.5
Assassin's Creed,Action;Adventure;Drama,Justin Kurzel,2016,115,54.65
Atonement,Drama;Mystery;Romance,Joe Wright,2007,123,50.92
August Rush,Drama;Music,Kirsten Sheridan,2007,114,31.66
Australia,Adventure;Drama;Romance,Baz Luhrmann,2008,165,49.55
Avatar,Action;Adventure;Fantasy,James Cameron,2009,162,760.51
Avengers: Age of Ultron,Action;Adventure;Sci-Fi,Joss Whedon,2015,141,458.99
Babel,Drama,Alejandro Inarritu,2006,143,34.3
Bacalaureat,Crime;Drama,Cristian Mungiu,2016,128,0.13
Bad Moms,Comedy,Jon Lucas,2016,100,113.08
Bahubali: The Beginning,Action;Adventure;Drama,S.S. Rajamouli,2015,159,6.5
Barbershop: The Next Cut,Comedy;Drama,Malcolm D. Lee,2016,111,54.01
Bastille Day,Action;Crime;Drama,James Watkins,2016,92,0.04
Batman v Superman: Dawn of Justice,Action;Adventure;Sci-Fi,Zack Snyder,2016,151,330.25
Battleship,Action;Adventure;Sci-Fi,Peter Berg,2012,131,65.17
Beautiful Creatures,Drama;Fantasy;Romance,Richard LaGravenese,2013,124,19.45
Before We Go,Comedy;Drama;Romance,Chris Evans,2014,95,0.04
Begin Again,Drama;Music,John Carney,2013,104,16.17
Ben-Hur,Action;Adventure;Drama,Timur Bekmambetov,2016,123,26.38
Beowulf,Animation;Action;Adventure,Robert Zemeckis,2007,115,82.16
Big Hero 6,Animation;Action;Adventure,Don Hall,2014,102,222.49
Billy Lynn's Long Halftime Walk,Drama;War,Ang Lee,2016,113,1.72
Birdman or (The Unexpected Virtue of Ignorance),Comedy;Drama;Romance,Alejandro Inarritu,2014,119,42.34
Birth of the Dragon,Action;Biography;Drama,George Nolfi,2016,103,93.05
Black Mass,Biography;Crime;Drama,Scott Cooper,2015,123,62.56
Black Swan,Drama;Thriller,Darren Aronofsky,2010,108,106.95
Blackhat,Crime;Drama;Mystery,Michael Mann,2015,133,7.1
Blair Witch,Horror;Thriller,Adam Wingard,2016,89,20.75
Bleed for This,Biography;Drama;Sport,Ben Younger,2016,117,4.85
Blended,Comedy;Romance,Frank Coraci,2014,117,46.28
Blood Diamond,Adventure;Drama;Thriller,Edward Zwick,2006,143,57.37
Blood Father,Action;Crime;Drama,Jean-François Richet,2016,88,93.95
Blue Jasmine,Drama,Woody Allen,2013,98,33.4
Blue Valentine,Drama;Romance,Derek Cianfrance,2010,112,9.7
Body of Lies,Action;Drama;Romance,Ridley Scott,2008,128,39.38
Bone Tomahawk,Adventure;Drama;Horror,S. Craig Zahler,2015,132,66.01
Bonjour Anne,Comedy;Drama;Romance,Eleanor Coppola,2016,92,0.32
Boyhood,Drama,Richard Linklater,2014,165,25.36
Brave,Animation;Adventure;Comedy,Mark Andrews,2012,93,237.28
Bride Wars,Comedy;Romance,Gary Winick,2009,89,58.72
Bridesmaids,Comedy;Romance,Paul Feig,2011,125,169.08
Bridge of Spies,Drama;History;Thriller,Steven Spielberg,2015,142,72.31
Bridge to Terabithia,Adventure;Drama;Family,Gabor Csupo,2007,96,82.23
Bridget Jones's Baby,Comedy;Romance,Sharon Maguire,2016,118,24.09
Bronson,Action;Biography;Crime,Nicolas Winding Refn,2008,92,0.1
Brooklyn,Drama;Romance,John Crowley,2015,117,38.32
Burnt,Comedy;Drama,John Wells,2015,101,13.65
Busanhaeng,Action;Drama;Horror,Sang-ho Yeon,2016,118,2.13
Café Society,Comedy;Drama;Romance,Woody Allen,2016,96,11.08
Captain America: Civil War,Action;Adventure;Sci-Fi,Anthony Russo,2016,147,408.08
Captain America: The First Avenger,Action;Adventure;Sci-Fi,Joe Johnston,2011,124,176.64
Captain America: The Winter Soldier,Action;Adventure;Sci-Fi,Anthony Russo,2014,136,259.75
Captain Fantastic,Comedy;Drama,Matt Ross,2016,118,5.88
Captain Phillips,Biography;Drama;Thriller,Paul Greengrass,2013,134,107.1
Carol,Drama;Romance,Todd Haynes,2015,118,0.25
Carrie,Drama;Horror,Kimberly Peirce,2013,100,35.27
Cars,Animation;Adventure;Comedy,John Lasseter,2006,117,244.05
Cars 2,Animation;Adventure;Comedy,John Lasseter,2011,106,191.45
Casino Royale,Action;Adventure;Thriller,Martin Campbell,2006,144,167.01
Central Intelligence,Action;Comedy;Crime,Rawson Marshall Thurber,2016,107,127.38
Centurion,Action;Adventure;Drama,Neil Marshall,2010,97,0.12
Changeling,Biography;Drama;Mystery,Clint Eastwood,2008,141,35.71
Chappie,Action;Crime;Drama,Neill Blomkamp,2015,120,31.57
Chef,Comedy;Drama,Jon Favreau,2014,114,31.24
Child 44,Crime;Drama;Thriller,Daniel Espinosa,2015,137,1.21
Children of Men,Drama;Sci-Fi;Thriller,Alfonso Cuaron,2006,109,35.29
Christine,Biography;Drama,Antonio Campos,2016,119,0.3
Chuck,Biography;Drama;Sport,Philippe Falardeau,2016,98,0.11
Cinderella,Drama;Family;Fantasy,Kenneth Branagh,2015,105,201.15
Clash of the Titans,Action;Adventure;Fantasy,Louis Leterrier,2010,106,163.19
Closed Circuit,Crime;Drama;Mystery,John Crowley,2013,96,5.73
Cloud Atlas,Drama;Sci-Fi,Tom Tykwer,2012,172,27.1
Cloverfield,Action;Horror;Sci-Fi,Matt Reeves,2008,85,80.03
Clown,Horror;Thriller,Jon Watts,2014,100,0.05
Coherence,Mystery;Sci-Fi;Thriller,James Ward Byrkit,2013,89,0.07
Collateral Beauty,Drama;Romance,David Frankel,2016,97,30.98
Collide,Action;Crime;Thriller,Eran Creevy,2016,99,2.2
Colossal,Action;Comedy;Drama,Nacho Vigalondo,2016,109,2.87
Conan the Barbarian,Action;Adventure;Fantasy,Marcus Nispel,2011,113,21.27
Concussion,Biography;Drama;Sport,Peter Landesman,2015,123,34.53
Contagion,Drama;Thriller,Steven Soderbergh,2011,106,75.64
Coraline,Animation;Family;Fantasy,Henry Selick,2009,100,75.28
Couples Retreat,Comedy,Peter Billingsley,2009,113,109.18
Crazy  Stupid  Love.,Comedy;Drama;Romance,Glenn Ficarra,2011,118,84.24
Creed,Drama;Sport,Ryan Coogler,2015,133,109.71
Criminal,Action;Crime;Drama,Ariel Vromen,2016,113,14.27
Crimson Peak,Drama;Fantasy;Horror,Guillermo del Toro,2015,119,31.06
Daddy's Home,Comedy;Family,Sean Anders,2015,96,150.32
Dallas Buyers Club,Biography;Drama,Jean-Marc Vallee,2013,117,27.3
Dangal,Action;Biography;Drama,Nitesh Tiwari,2016,161,11.15
Dark Shadows,Comedy;Fantasy;Horror,Tim Burton,2012,113,79.71
Dawn of the Planet of the Apes,Action;Adventure;Drama,Matt Reeves,2014,130,208.54
Dead Awake,Horror;Thriller,Phillip Guzman,2016,99,0.01
Deadpool,Action;Adventure;Comedy,Tim Miller,2016,108,363.02
Dear White People,Comedy;Drama,Justin Simien,2014,108,4.4
Dear Zindagi,Drama;Romance,Gauri Shinde,2016,151,1.4
Death Race,Action;Sci-Fi;Thriller,Paul W.S. Anderson,2008,105,36.06
Deepwater Horizon,Action;Drama;Thriller,Peter Berg,2016,107,61.28
Demolition,Comedy;Drama,Jean-Marc Vallee,2015,101,1.82
Denial,Biography;Drama,Mick Jackson,2016,109,4.07
Despicable Me,Animation;Adventure;Comedy,Pierre Coffin,2010,95,251.5
Despicable Me 2,Animation;Adventure;Comedy,Pierre Coffin,2013,98,368.05
Diary of a Wimpy Kid,Comedy;Family,Thor Freudenthal,2010,94,64
Diary of a Wimpy Kid: Dog Days,Comedy;Family,David Bowers,2012,94,49
Diary of a Wimpy Kid: Rodrick Rules,Comedy;Family,David Bowers,2011,99,52.69
Dirty Grandpa,Comedy,Dan Mazer,2016,102,35.54
Disaster Movie,Comedy,Jason Friedberg,2008,87,14.17
District 9,Action;Sci-Fi;Thriller,Neill Blomkamp,2009,112,115.65
Disturbia,Drama;Mystery;Thriller,D.J. Caruso,2007,105,80.05
Divergent,Adventure;Mystery;Sci-Fi,Neil Burger,2014,139,150.83
Django Unchained,Drama;Western,Quentin Tarantino,2012,165,162.8
Doctor Strange,Action;Adventure;Fantasy,Scott Derrickson,2016,115,232.6
Don Jon,Comedy;Drama;Romance,Joseph Gordon-Levitt,2013,90,24.48
Don't Breathe,Crime;Horror;Thriller,Fede Alvarez,2016,88,89.21
Don't Think Twice,Comedy;Drama,Mike Birbiglia,2016,92,4.42
Dope,Comedy;Crime;Drama,Rick Famuyiwa,2015,103,17.47
Dracula Untold,Action;Drama;Fantasy,Gary Shore,2014,92,55.94
Dragonball Evolution,Action;Adventure;Fantasy,James Wong,2009,85,9.35
Dredd,Action;Sci-Fi,Pete Travis,2012,95,13.4
Drive,Crime;Drama,Nicolas Winding Refn,2011,100,35.05
Eagle Eye,Action;Mystery;Thriller,D.J. Caruso,2008,118,101.11
Eastern Promises,Crime;Drama;Mystery,David Cronenberg,2007,100,17.11
Easy A,Comedy;Drama;Romance,Will Gluck,2010,92,58.4
Eddie the Eagle,Biography;Comedy;Drama,Dexter Fletcher,2016,106,15.79
Edge of Tomorrow,Action;Adventure;Sci-Fi,Doug Liman,2014,113,100.19
En man som heter Ove,Comedy;Drama,Hannes Holm,2015,116,3.36
Enchanted,Animation;Comedy;Family,Kevin Lima,2007,107,127.71
End of Watch,Crime;Drama;Thriller,David Ayer,2012,109,40.98
Ender's Game,Action;Sci-Fi,Gavin Hood,2013,114,61.66
Endless Love,Drama;Romance,Shana Feste,2014,104,23.39
Enemy,Mystery;Thriller,Denis Villeneuve,2013,91,1.01
Entourage,Comedy,Doug Ellin,2015,104,32.36
Equals,Drama;Romance;Sci-Fi,Drake Doremus,2015,101,0.03
Escape Plan,Action;Crime;Mystery,Mikael Hafstrom,2013,115,25.12
Everest,Action;Adventure;Drama,Baltasar Kormakur,2015,121,43.25
Everybody Wants Some!!,Comedy,Richard Linklater,2016,117,3.37
Evil Dead,Fantasy;Horror,Fede Alvarez,2013,91,54.24
Ex Machina,Drama;Mystery;Sci-Fi,Alex Garland,2014,108,25.44
Exodus: Gods and Kings,Action;Adventure;Drama,Ridley Scott,2014,150,65.01
Eye in the Sky,Drama;Thriller;War,Gavin Hood,2015,102,18.7
Fantastic Beasts and Where to Find Them,Adventure;Family;Fantasy,David Yates,2016,133,234.02
Fantastic Four,Action;Adventure;Sci-Fi,Josh Trank,2015,100,56.11
Fantastic Mr. Fox,Animation;Adventure;Comedy,Wes Anderson,2009,87,21
Fast & Furious,Action;Crime;Thriller,Justin Lin,2009,107,155.02
Fast Five,Action;Crime;Thriller,Justin Lin,2011,131,209.81
Faster,Action;Crime;Drama,George Tillman Jr.,2010,98,23.23
Fences,Drama,Denzel Washington,2016,139,57.64
Fifty Shades of Grey,Drama;Romance;Thriller,Sam Taylor-Johnson,2015,125,166.15
Filth,Comedy;Crime;Drama,Jon S. Baird,2013,97,0.03
Final Destination 5,Horror;Thriller,Steven Quale,2011,92,42.58
Finding Dory,Animation;Adventure;Comedy,Andrew Stanton,2016,97,486.29
Flight,Drama;Thriller,Robert Zemeckis,2012,138,93.75
Florence Foster Jenkins,Biography;Comedy;Drama,Stephen Frears,2016,111,27.37
Focus,Comedy;Crime;Drama,Glenn Ficarra,2015,105,53.85
Fool's Gold,Action;Adventure;Comedy,Andy Tennant,2008,112,70.22
Footloose,Comedy;Drama;Music,Craig Brewer,2011,113,51.78
Forgetting Sarah Marshall,Comedy;Drama;Romance,Nicholas Stoller,2008,111,62.88
Forushande,Drama;Thriller,Asghar Farhadi,2016,124,3.4
Fracture,Crime;Drama;Mystery,Gregory Hoblit,2007,113,39
Frantz,Drama;History;War,François Ozon,2016,113,0.86
Free Fire,Action;Comedy;Crime,Ben Wheatley,2016,90,1.8
Freedom Writers,Biography;Crime;Drama,Richard LaGravenese,2007,123,36.58
Friday the 13th,Horror,Marcus Nispel,2009,97,65
Friend Request,Horror;Thriller,Simon Verhoeven,2016,92,64.03
Friends with Benefits,Comedy;Romance,Will Gluck,2011,109,55.8
Frozen,Animation;Adventure;Comedy,Chris Buck,2013,102,400.74
Funny Games,Crime;Drama;Horror,Michael Haneke,2007,111,1.29
Furious 6,Action;Crime;Thriller,Justin Lin,2013,130,238.67
Furious Seven,Action;Crime;Thriller,James Wan,2015,137,350.03
Fury,Action;Drama;War,David Ayer,2014,134,85.71
G.I. Joe: Retaliation,Action;Adventure;Sci-Fi,Jon M. Chu,2013,110,122.51
G.I. Joe: The Rise of Cobra,Action;Adventure;Sci-Fi,Stephen Sommers,2009,118,150.17
Gangster Squad,Action;Crime;Drama,Ruben Fleischer,2013,113,46
Genius,Biography;Drama,Michael Grandage,2016,104,1.36
Get Hard,Comedy;Crime,Etan Cohen,2015,100,90.35
Ghost Rider,Action;Fantasy;Thriller,Mark Steven Johnson,2007,114,115.8
Ghostbusters,Action;Comedy;Fantasy,Paul Feig,2016,116,128.34
Gods of Egypt,Action;Adventure;Fantasy,Alex Proyas,2016,126,31.14
Godzilla,Action;Adventure;Sci-Fi,Gareth Edwards,2014,123,200.66
Goksung,Drama;Fantasy;Horror,Hong-jin Na,2016,156,0.79
Gold,Adventure;Drama;Thriller,Stephen Gaghan,2016,120,7.22
Gone Baby Gone,Crime;Drama;Mystery,Ben Affleck,2007,114,20.3
Gone Girl,Crime;Drama;Mystery,David Fincher,2014,149,167.74
Goosebumps,Adventure;Comedy;Family,Rob Letterman,2015,103,80.02
Gran Torino,Drama,Clint Eastwood,2008,116,148.09
Gravity,Drama;Sci-Fi;Thriller,Alfonso Cuaron,2013,91,274.08
Green Lantern,Action;Adventure;Sci-Fi,Martin Campbell,2011,114,116.59
Green Room,Crime;Horror;Thriller,Jeremy Saulnier,2015,95,3.22
Grimsby,Action;Adventure;Comedy,Louis Leterrier,2016,83,6.86
Grindhouse,Action;Horror;Thriller,Robert Rodriguez,2007,191,25.03
Grown Ups,Comedy,Dennis Dugan,2010,102,162
Grown Ups 2,Comedy,Dennis Dugan,2013,101,133.67
Guardians of the Galaxy,Action;Adventure;Sci-Fi,James Gunn,2014,121,333.13
Hacksaw Ridge,Biography;Drama;History,Mel Gibson,2016,139,67.12
Hail  Caesar!,Comedy;Mystery,Ethan Coen,2016,106,30
Hairspray,Comedy;Drama;Family,Adam Shankman,2007,117,118.82
Half of a Yellow Sun,Drama;Romance,Biyi Bandele,2013,111,0.05
Hancock,Action;Crime;Drama,Peter Berg,2008,92,227.95
Hands of Stone,Action;Biography;Drama,Jonathan Jakubowicz,2016,111,4.71
Hanna,Action;Drama;Thriller,Joe Wright,2011,111,40.25
Happy Feet,Animation;Comedy;Family,George Miller,2006,108,197.99
Hardcore Henry,Action;Adventure;Sci-Fi,Ilya Naishuller,2015,96,9.24
Harry Potter and the Deathly Hallows: Part 1,Adventure;Family;Fantasy,David Yates,2010,146,294.98
Harry Potter and the Deathly Hallows: Part 2,Adventure;Drama;Fantasy,David Yates,2011,130,380.96
Harry Potter and the Half-Blood Prince,Adventure;Family;Fantasy,David Yates,2009,153,301.96
Harry Potter and the Order of the Phoenix,Adventure;Family;Fantasy,David Yates,2007,138,292
Hell or High Water,Crime;Drama;Thriller,David Mackenzie,2016,102,26.86
Hellboy II: The Golden Army,Action;Adventure;Fantasy,Guillermo del Toro,2008,120,75.75
Hello  My Name Is Doris,Comedy;Drama;Romance,Michael Showalter,2015,95,14.44
Her,Drama;Romance;Sci-Fi,Spike Jonze,2013,126,25.56
Hercules,Action;Adventure,Brett Ratner,2014,98,72.66
Hidden Figures,Biography;Drama;History,Theodore Melfi,2016,127,169.27
High-Rise,Drama,Ben Wheatley,2015,119,0.34
Home,Animation;Adventure;Comedy,Tim Johnson,2015,94,177.34
Horns,Drama;Fantasy;Horror,Alexandre Aja,2013,120,0.16
Horrible Bosses,Comedy;Crime,Seth Gordon,2011,98,117.53
Horrible Bosses 2,Comedy;Crime,Sean Anders,2014,108,54.41
Hostel: Part II,Horror,Eli Roth,2007,94,17.54
Hot Fuzz,Action;Comedy;Mystery,Edgar Wright,2007,121,23.62
Hotel Transylvania 2,Animation;Comedy;Family,Genndy Tartakovsky,2015,89,169.69
How to Be Single,Comedy;Romance,Christian Ditter,2016,110,46.81
How to Train Your Dragon,Animation;Action;Adventure,Dean DeBlois,2010,98,217.39
How to Train Your Dragon 2,Animation;Action;Adventure,Dean DeBlois,2014,102,177
Hugo,Adventure;Drama;Family,Martin Scorsese,2011,126,73.82
Hunger,Biography;Drama,Steve McQueen,2008,96,0.15
Hunt for the Wilderpeople,Adventure;Comedy;Drama,Taika Waititi,2016,101,5.2
I Am Legend,Drama;Horror;Sci-Fi,Francis Lawrence,2007,101,256.39
I Am Number Four,Action;Adventure;Sci-Fi,D.J. Caruso,2011,109,55.09
I Origins,Drama;Romance;Sci-Fi,Mike Cahill,2014,106,0.33
I Spit on Your Grave,Crime;Horror;Thriller,Steven R. Monroe,2010,108,0.09
Ice Age: Collision Course,Animation;Adventure;Comedy,Mike Thurmeier,2016,94,64.06
Idiocracy,Adventure;Comedy;Sci-Fi,Mike Judge,2006,84,0.44
If I Stay,Drama;Fantasy;Music,R.J. Cutler,2014,107,50.46
Il racconto dei racconti - Tale of Tales,Drama;Fantasy;Horror,Matteo Garrone,2015,133,0.08
Immortals,Action;Drama;Fantasy,Tarsem Singh,2011,110,83.5
In Bruges,Comedy;Crime;Drama,Martin McDonagh,2008,107,7.76
